urn,title,page_start,page_end,overlapp,digital_visning,comment
URN:NBN:no-nb_digibok_2006112300015,34.,39,39,,,
URN:NBN:no-nb_digibok_2006112300015,35.,40,40,,,
URN:NBN:no-nb_digibok_2006112300015,36.,41,41,,,
URN:NBN:no-nb_digibok_2006112300015,37.,42,42,,,
URN:NBN:no-nb_digibok_2006112300015,38.,43,43,,,
URN:NBN:no-nb_digibok_2006112300015,39.,44,44,,,
URN:NBN:no-nb_digibok_2006112300015,40.,45,45,,,
URN:NBN:no-nb_digibok_2006112300015,41.,46,46,,,
URN:NBN:no-nb_digibok_2006112300015,42.,47,47,,,
URN:NBN:no-nb_digibok_2006112300015,43.,48,48,,,
URN:NBN:no-nb_digibok_2006112300015,44.,49,49,,,
URN:NBN:no-nb_digibok_2006112300015,45.,50,50,,,
URN:NBN:no-nb_digibok_2006112300015,46.,51,51,,,
URN:NBN:no-nb_digibok_2006112300015,47.,52,52,,,
URN:NBN:no-nb_digibok_2006112300015,48.,53,53,,,
URN:NBN:no-nb_digibok_2006112300015,49.,54,54,,,
URN:NBN:no-nb_digibok_2006112300015,50.,55,55,,,
URN:NBN:no-nb_digibok_2006112300015,51.,56,56,,,
URN:NBN:no-nb_digibok_2006112300015,52.,57,57,,,
URN:NBN:no-nb_digibok_2006112300015,53.,58,58,,,
URN:NBN:no-nb_digibok_2006112300015,54.,59,59,,,
URN:NBN:no-nb_digibok_2006112300015,55.,60,60,,,
URN:NBN:no-nb_digibok_2006112300015,56.,61,61,,,
URN:NBN:no-nb_digibok_2006112300015,57.,62,62,,,
URN:NBN:no-nb_digibok_2006112300015,58.,63,63,,,
URN:NBN:no-nb_digibok_2006112300015,59.,64,64,,,
URN:NBN:no-nb_digibok_2006112300015,60.,65,65,,,
URN:NBN:no-nb_digibok_2006112300015,61.,66,66,,,
URN:NBN:no-nb_digibok_2006112300015,62.,67,67,,,
URN:NBN:no-nb_digibok_2006112300015,63.,68,68,,,
URN:NBN:no-nb_digibok_2006112300015,64.,69,69,,,
URN:NBN:no-nb_digibok_2006112300015,65.,70,70,,,
URN:NBN:no-nb_digibok_2006112300015,66.,71,71,,,
URN:NBN:no-nb_digibok_2006112300015,67.,72,72,,,
URN:NBN:no-nb_digibok_2006112300015,68.,73,73,,,
URN:NBN:no-nb_digibok_2006112300015,69.,74,74,,,
URN:NBN:no-nb_digibok_2006112300015,70.,75,75,,,
URN:NBN:no-nb_digibok_2006112300015,71.,76,76,,,
URN:NBN:no-nb_digibok_2006112300015,72.,77,77,,,
URN:NBN:no-nb_digibok_2006112300015,73.,78,78,,,
URN:NBN:no-nb_digibok_2006112300015,74.,79,79,,,
URN:NBN:no-nb_digibok_2006112300015,75.,80,80,,,
URN:NBN:no-nb_digibok_2006112300015,76.,81,81,,,
URN:NBN:no-nb_digibok_2006112300015,77.,82,82,,,
URN:NBN:no-nb_digibok_2006112300015,78.,83,83,,,
URN:NBN:no-nb_digibok_2006112300015,79.,84,84,,,
URN:NBN:no-nb_digibok_2006112300015,80.,85,85,,,
URN:NBN:no-nb_digibok_2006112300015,81.,86,86,,,
URN:NBN:no-nb_digibok_2006112300015,82.,87,87,,,
URN:NBN:no-nb_digibok_2006112300015,83.,88,88,,,
URN:NBN:no-nb_digibok_2006112300015,84.,89,89,,,
URN:NBN:no-nb_digibok_2006112300015,85.,90,90,,,
URN:NBN:no-nb_digibok_2006112300015,86.,91,91,,,
URN:NBN:no-nb_digibok_2006112300015,87.,92,92,,,
URN:NBN:no-nb_digibok_2006112300015,88.,93,93,,,
URN:NBN:no-nb_digibok_2006112300015,89.,94,94,,,
URN:NBN:no-nb_digibok_2006112300015,90.,95,95,,,
URN:NBN:no-nb_digibok_2006112300015,91.,96,96,,,
URN:NBN:no-nb_digibok_2006112300015,92.,97,97,,,
URN:NBN:no-nb_digibok_2013092407013,Titelvignet,10,15,,,
URN:NBN:no-nb_digibok_2013092407013,L'homme qui rit,16,19,,,
URN:NBN:no-nb_digibok_2013092407013,Fremskridt,20,21,,,
URN:NBN:no-nb_digibok_2013092407013,Nuet ,22,23,,,
URN:NBN:no-nb_digibok_2013092407013,Optimisme og Pessimisme,24,24,,,
URN:NBN:no-nb_digibok_2013092407013,Paa Tidens Strøm,25,26,,,
URN:NBN:no-nb_digibok_2013092407013,De mortuis nil nisi bene,27,31,,,
URN:NBN:no-nb_digibok_2013092407013,Frihed for Loke saavelsom for Thor,32,35,,,
URN:NBN:no-nb_digibok_2013092407013,Hundegalskab,36,37,,,
URN:NBN:no-nb_digibok_2013092407013,Tu fui; ego eris,38,39,,,
URN:NBN:no-nb_digibok_2013092407013,Det Gamle og det Nye,40,42,,,
URN:NBN:no-nb_digibok_2013092407013,Genidyrkelse,43,46,,,
URN:NBN:no-nb_digibok_2013092407013,Germanisk Aflad,47,49,,,
URN:NBN:no-nb_digibok_2013092407013,Tindebestigere,50,51,,,
URN:NBN:no-nb_digibok_2013092407013,Lig i Lasten,52,55,,,
URN:NBN:no-nb_digibok_2013092407013,Jødekvarteret i Amsterdam,56,58,,,
URN:NBN:no-nb_digibok_2013092407013,Gigantertiden,59,63,,,
URN:NBN:no-nb_digibok_2013092407013,Eritis sicut deus,64,74,,,replikker
URN:NBN:no-nb_digibok_2013092407013,Redaktør og Hofnar,75,78,,,
URN:NBN:no-nb_digibok_2013092407013,Mater dolorosa,79,81,,,
URN:NBN:no-nb_digibok_2013092407013,Poesiens Flod,82,88,,,jeg utelater prosabit s. 89
URN:NBN:no-nb_digibok_2013092407013,Motiv for Naturalister,90,92,,,
